"Designator","MPN","Quantity Per PCB","Link"
"C101,C102,C103,C104","","4","https://jlcpcb.com/partdetail/1884-0402B223K500NT/C1532"
"D101","","1","https://jlcpcb.com/partdetail/GOODWORK-SMAJ50CA/C908809"
"F101","","1","https://jlcpcb.com/partdetail/TECHFUSE-nSMD010/C70065"
"R105,R106,R107","","3","https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744"
"R101,R102,R103,R104","","4","https://jlcpcb.com/partdetail/26484-0402WGF1003TCE/C25741"
"U102","","1","https://jlcpcb.com/partdetail/IDCHIP-AD24C02/C5125083"
"U101","","1","https://jlcpcb.com/partdetail/HXYMOSFET-SI8640ED_B_ISHXY/C52145203"
